Player,Nation,Squad,score
Christophe Jallet,FRA,Amiens,28.95
Daniel James,WAL,Manchester Utd,43.58
Reece James,ENG,Chelsea,56.38
Laurent Jans,LUX,Paderborn 07,57.10
Jason,ESP,Getafe,34.93
Tin Jedvaj,CRO,Augsburg,88.14
Fredrik Jensen,FIN,Augsburg,13.54
Joelinton,BRA,Newcastle Utd,80.02
Ben Johnson,ENG,West Ham,21.02
Frenkie de Jong,NED,Barcelona,80.08
Luuk de Jong,NED,Sevilla,45.86
Jony,ESP,Lazio,34.89
Joan Jordán,ESP,Sevilla,72.13
Joselu,ESP,Alavés,90.34
Jota,ESP,Aston Villa,9.45
Luka Jović,SRB,Real Madrid,13.00
Lago Junior,CIV,Mallorca,67.48
Hamed Junior Traorè,CIV,Sassuolo,49.87
James Justin,ENG,Leicester City,39.58
Mathias Jørgensen,DEN,Düsseldorf,16.25
Ozan Kabak,TUR,Schalke 04,49.37
Abdoul Kader Bamba,FRA,Nantes,36.16
Florian Kainz,AUT,Köln,49.95
Nikola Kalinić,CRO,Roma,17.11
Daichi Kamada,JPN,Eint Frankfurt,71.51
Lee Kangin,KOR,Valencia,26.67
Yann Karamoh,FRA,Parma,27.47
Noah Katterbach,GER,Köln,43.13
Moise Kean,ITA,Everton,26.37
Lloyd Kelly,ENG,Bournemouth,18.21
Kenedy,BRA,Getafe,17.54
Jonjoe Kenny,ENG,Schalke 04,87.85
Luca Kilian,GER,Paderborn 07,46.76
Simon Kjær,DEN,Atalanta,9.43
Simon Kjær,DEN,Milan,45.63
Timm Klose,SUI,Norwich City,18.67
Kenan Kodro,BIH,Athletic Club,11.06
Dominik Kohr,GER,Eint Frankfurt,49.40
Kouadio Koné,FRA,Toulouse,27.47
Youssouf Koné,MLI,Lyon,26.65
Ezri Konsa,ENG,Aston Villa,73.48
Laurent Koscielny,FRA,Bordeaux,54.00
Christian Kouamé,CIV,Fiorentina,19.09
Efthimis Koulouris,GRE,Toulouse,47.09
Jules Koundé,FRA,Sevilla,80.23
Emil Krafth,SWE,Newcastle Utd,44.23
Felix Kroos,GER,Union Berlin,12.04
Rade Krunić,BIH,Milan,26.67
Takefusa Kubo,JPN,Mallorca,60.44
Dejan Kulusevski,SWE,Parma,87.53
Marash Kumbulla,ALB,Hellas Verona,60.56
Jasmin Kurtić,SVN,Parma,67.32
Dereck Kutesa,SUI,Reims,17.11
Enock Kwateng,FRA,Bordeaux,40.53
Giorgos Kyriakopoulos,GRE,Sassuolo,50.90
Andrea La Mantia,ITA,Lecce,16.90
Stefan Lainer,AUT,M'Gladbach,72.59
Tariq Lamptey,GHA,Brighton,29.81
Michael Lang,SUI,Werder Bremen,17.96
Gianluca Lapadula,PER,Lecce,54.12
Paul Lasne,FRA,Brest,39.74
Toni Lato,ESP,Osasuna,15.24
Vincent Laurini,FRA,Parma,27.10
Diego Laxalt,URU,Torino,18.01
Valentino Lazaro,AUT,Newcastle Utd,16.27
Valentino Lazaro,AUT,Inter,9.21
Darko Lazović,SRB,Hellas Verona,87.78
Manuel Lazzari,ITA,Lazio,67.62
Rafael Leão,POR,Milan,56.44
Toni Leistner,GER,Köln,36.61
Moritz Leitner,GER,Norwich City,22.49
Christopher Lenz,GER,Union Berlin,71.96
Sergio León,ESP,Levante,20.56
Mehdi Léris,ALG,Sampdoria,13.57
Jamal Lewis,NIR,Norwich City,71.81
Stephan Lichtsteiner,SUI,Augsburg,44.62
Matthijs de Ligt,NED,Juventus,79.76
Pol Lirola,ESP,Fiorentina,47.34
Fernando Llorente,ESP,Napoli,14.42
Marcos Llorente,ESP,Atlético Madrid,70.28
Gautier Lloris,FRA,Nice,8.34
Giovani Lo Celso,ARG,Tottenham,34.61
Stanislav Lobotka,SVK,Napoli,38.30
Jürgen Locadia,NED,Hoffenheim,17.40
Renan Lodi,BRA,Atlético Madrid,49.31
Matthew Longstaff,ENG,Newcastle Utd,16.11
Adrián López,ESP,Osasuna,30.25
Imran Louza,MAR,Nantes,67.07
Eduard Löwen,GER,Augsburg,22.05
Eduard Löwen,GER,Hertha BSC,10.57
Hirving Lozano,MEX,Napoli,43.15
Fabio Lucioni,ITA,Lecce,100.00
David Luiz,BRA,Arsenal,61.19
Douglas Luiz,BRA,Aston Villa,78.75
Romelu Lukaku,BEL,Inter,78.97
Dodi Lukebakio,BEL,Hertha BSC,62.93
John Lundstram,ENG,Sheffield Utd,66.69
Arnaud Lusamba,COD,Nice,28.89
Alexis Mac Allister,ARG,Brighton,35.14
Darwin Machís,VEN,Granada,58.38
Lisandro Magallán,ARG,Alavés,37.09
Harry Maguire,ENG,Manchester Utd,87.11
Habib Maïga,CIV,Metz,60.96
Josh Maja,NGA,Bordeaux,22.09
Abdul Majeed Waris,GHA,Strasbourg,12.86
Žan Majer,SVN,Lecce,52.63
Jean-Victor Makengo,FRA,Toulouse,30.98
Ruslan Malinovskyi,UKR,Atalanta,53.44
Yunus Mallı,TUR,Union Berlin,20.77
Streli Mamba,GER,Paderborn 07,52.52
Gianluca Mancini,ITA,Roma,90.63
Marco Mancosu,ITA,Lecce,75.95
Reinildo Mandava,MOZ,Lille,47.16
Eliaquim Mangala,FRA,Valencia,15.33
Massimiliano Mangraviti,ITA,Brescia,30.23
Kostas Manolas,GRE,Napoli,48.74
Guillermo Maripán,CHI,Monaco,60.81
Bruno Martella,ITA,Brescia,39.14
Martinelli,BRA,Arsenal,28.41
José Martínez,ESP,Granada,38.66
Pablo Martinez,FRA,Nîmes,48.13
Andrea Masiello,ITA,Genoa,48.25
Aleš Matějů,CZE,Brescia,79.19
Rabbi Matondo,WAL,Schalke 04,35.57
Federico Mattiello,ITA,Cagliari,29.19
Neal Maupay,FRA,Brighton,70.69
Stephy Mavididi,ENG,Dijon,38.60
Kevin Mbabu,SUI,Wolfsburg,52.05
Nathanael Mbuku,FRA,Reims,37.87
Oliver McBurnie,SCO,Sheffield Utd,48.97
James McCarthy,IRL,Crystal Palace,35.74
John McGinn,SCO,Aston Villa,83.07
David McGoldrick,IRL,Sheffield Utd,61.11
Kenny McLean,SCO,Norwich City,87.14
Biagio Meccariello,ITA,Lecce,24.65
Gary Medel,CHI,Bologna,54.17
Joshua Mees,GER,Union Berlin,10.05
Gonzalo Melero,ESP,Levante,48.95
Thiago Mendes,BRA,Lyon,63.58
Édgar Méndez,ESP,Alavés,45.85
Alexandre Mendy,GNB,Brest,26.71
Ferland Mendy,FRA,Real Madrid,62.22
Hamza Mendyl,MAR,Dijon,41.99
Fran Mérida,ESP,Osasuna,38.35
Roque Mesa,ESP,Leganés,68.00
Mexer,MOZ,Bordeaux,34.77
Sven Michel,GER,Paderborn 07,47.97
Éder Militão,BRA,Real Madrid,55.97
Santi Mina,ESP,Celta Vigo,63.70
Tyrone Mings,ENG,Aston Villa,89.41
Jorge Miramón,ESP,Levante,62.78
Juan Miranda,ESP,Schalke 04,25.09
Henrikh Mkhitaryan,ARM,Roma,70.09
Anthony Modeste,FRA,Köln,61.66
Jon Moncayola,ESP,Osasuna,75.65
Nacho Monreal,ESP,Real Sociedad,66.01
Ángel Montoro,ESP,Granada,40.31
Aaron Mooy,AUS,Brighton,61.52
Wesley Moraes,BRA,Aston Villa,49.19
Jérémy Morel,MAD,Rennes,54.34
Alberto Moreno,ESP,Villarreal,40.24
Álex Moreno,ESP,Betis,66.42
Victor Moses,NGA,Inter,12.10
Harold Moukoudi,CMR,Saint-Étienne,49.29
Mason Mount,ENG,Chelsea,75.79
Lys Mousset,FRA,Sheffield Utd,21.70
Mert Müldür,TUR,Sassuolo,49.52
Marshall Munetsi,ZIM,Reims,44.96
Luis Muriel,COL,Atalanta,44.29
Jeison Murillo,COL,Sampdoria,19.93
Jeison Murillo,COL,Celta Vigo,53.81
Kévin N'Doram,FRA,Metz,31.14
Stanley N'Soki,FRA,Nice,39.45
Radja Nainggolan,BEL,Cagliari,61.71
Marvelous Nakamba,ZIM,Aston Villa,33.46
Nahitan Nández,URU,Cagliari,74.36
Raúl Navas,ESP,Osasuna,22.62
Emanuele Ndoj,ALB,Brescia,17.10
Tanguy Ndombele,FRA,Tottenham,33.63
Reiss Nelson,ENG,Arsenal,17.57
Ilija Nestorovski,MKD,Udinese,29.03
Pedro Neto,POR,Wolves,38.09
Carlos Neva,ESP,Granada,65.49
Jeremy Ngakia,ENG,West Ham,12.32
Muzinga Ngonda,COD,Dijon,41.91
Tanguy Nianzou,FRA,Paris S-G,15.62
Florian Niederlechner,GER,Augsburg,60.73
Casimir Ninga,CHA,Angers,15.98
Eddie Nketiah,ENG,Arsenal,16.85
Christopher Nkunku,FRA,RB Leipzig,77.75
Nolito,ESP,Celta Vigo,41.83
Oliver Norwood,NIR,Sheffield Utd,80.82
Kasim Nuhu,GHA,Düsseldorf,32.83
Allan Nyom,CMR,Getafe,70.85
Steven Nzonzi,FRA,Rennes,53.33
Jack O'Connell,ENG,Sheffield Utd,86.47
Michael Obafemi,IRL,Southampton,17.88
Pedro Obiang,EQG,Sassuolo,47.43
Lucas Ocampos,ARG,Sevilla,69.03
Christian Oliva,URU,Cagliari,13.69
Cauly Oliveira Souza,BRA,Paderborn 07,25.34
Dani Olmo,ESP,RB Leipzig,44.39
Javier Ontiveros,ESP,Villarreal,26.45
Nicholas Opoku,GHA,Amiens,20.32
Ben Osborn,ENG,Sheffield Utd,32.47
Victor Osimhen,NGA,Lille,61.88
Paulo Otávio,BRA,Wolfsburg,27.36
Remi Oudin,FRA,Bordeaux,45.74
Adam Ounas,ALG,Nice,32.77
Marko Pajač,CRO,Genoa,24.76
Vincent Pajot,FRA,Metz,36.67
Sergi Palencia,ESP,Saint-Étienne,14.02
Andrea Papetti,ITA,Brescia,28.18
Michael Parensen,GER,Union Berlin,20.05
Paulinho,BRA,Leverkusen,24.15
Benjamin Pavard,FRA,Bayern Munich,73.65
Nehuén Paz,ARG,Lecce,27.16
Alfonso Pedraza,ESP,Betis,41.54
Rubén Peña,ESP,Villarreal,45.09
Nicolas Pépé,CIV,Arsenal,40.31
Victor Perea,ESP,Espanyol,37.54
Mathias Pereira Lage,POR,Angers,40.48
Gastón Pereiro,URU,Cagliari,16.47
Ayoze Pérez,ESP,Leicester City,35.07
Carles Pérez,ESP,Roma,19.57
Carles Pérez,ESP,Barcelona,14.26
Iñigo Pérez,ESP,Osasuna,29.59
Lucas Pérez,ESP,Alavés,64.74
Ivan Perišić,CRO,Bayern Munich,36.39
Romain Perraud,FRA,Brest,76.72
Lucas Perrin,FRA,Marseille,9.88
Matteo Pessina,ITA,Hellas Verona,77.49
Jacopo Petriccione,ITA,Lecce,69.54
Giuseppe Pezzella,ITA,Parma,42.27
Romain Philippoteaux,FRA,Nîmes,64.68
Krzysztof Piątek,POL,Hertha BSC,31.90
Ronaël Pierre-Gabriel,FRA,Mainz 05,19.25
Erik Pieters,NED,Burnley,37.16
Andrea Pinamonti,ITA,Genoa,69.46
Pipa,ESP,Espanyol,13.83
Daniel Podence,POR,Wolves,32.61
Matteo Politano,ITA,Napoli,41.30
Sebastian Polter,GER,Union Berlin,10.10
Marin Pongračić,CRO,Wolfsburg,25.30
Pere Pons,ESP,Alavés,37.15
Pedro Porro,ESP,Valladolid,23.14
Portu,ESP,Real Sociedad,57.58
Alejandro Pozo Pozo,ESP,Mallorca,47.99
Dennis Praet,BEL,Leicester City,26.19
Abdón Prats,ESP,Mallorca,13.89
Kai Pröger,GER,Paderborn 07,72.18
Grischa Prömel,GER,Union Berlin,53.83
Antonio Puertas,ESP,Granada,74.02
Riqui Puig,ESP,Barcelona,13.78
Teemu Pukki,FIN,Norwich City,88.95
Erick Pulgar,CHI,Fiorentina,54.26
Christian Pulisic,USA,Chelsea,43.16
Quini,ESP,Granada,45.45
Quique,ESP,Eibar,15.36
Adrien Rabiot,FRA,Juventus,69.30
Nemanja Radoja,SRB,Levante,44.23
Rafinha,BRA,Celta Vigo,64.35
Daniele Ragatzu,ITA,Cagliari,10.04
Antonio Raillo,ESP,Mallorca,67.72
Benito Raman,BEL,Schalke 04,43.80
Sandro Ramírez,ESP,Valladolid,39.92
Aaron Ramsey,WAL,Juventus,34.87
Raphinha,BRA,Rennes,30.39
Ante Rebić,CRO,Milan,39.59
Arkadiusz Reca,POL,SPAL,61.70
Sergio Reguilón,ESP,Sevilla,74.22
Ken Reichel,GER,Union Berlin,16.84
Jeff Reine-Adélaïde,FRA,Lyon,24.50
Elvis Rexhbeçaj,GER,Köln,42.21
Gio Reyna,USA,Dortmund,30.14
Franck Ribéry,FRA,Fiorentina,53.74
Emiliano Rigoni,ARG,Sampdoria,12.82
Luis Rioja,ESP,Alavés,69.16
Andrea Rispoli,ITA,Lecce,61.19
Marlon Ritter,GER,Paderborn 07,15.66
Cristian Rivera,ESP,Leganés,10.53
Callum Robinson,IRL,Sheffield Utd,19.27
Jack Robinson,ENG,Sheffield Utd,20.54
Rodri,ESP,Manchester City,84.53
Kévin Rodrigues,POR,Leganés,64.22
Dani Rodríguez,ESP,Mallorca,91.42
Guido Rodríguez,ARG,Betis,65.64
James Rodríguez,COL,Real Madrid,13.59
Jay Rodriguez,ENG,Burnley,42.87
Rodrygo,BRA,Real Madrid,36.21
Marko Rog,CRO,Cagliari,40.32
Agustín Rogel,URU,Toulouse,26.78
Filippo Romagna,ITA,Sassuolo,45.13
Rômulo,ITA,Brescia,52.45
Facundo Roncaglia,ARG,Osasuna,40.11
Valentin Rongier,FRA,Marseille,58.76
Roberto Rosales,VEN,Leganés,62.94
Danny Rose,ENG,Newcastle Utd,29.36
Luca Rossettini,ITA,Lecce,71.84
Nolan Roux,FRA,Nîmes,19.88
Amir Rrahmani,KVX,Hellas Verona,99.83
Sebastian Rudy,GER,Hoffenheim,59.10
Aitor Ruibal,ESP,Leganés,40.38
Lukas Rupp,GER,Norwich City,22.48
Julian Ryerson,NOR,Union Berlin,30.23
João Victor Santos Sá,BRA,Wolfsburg,33.48
Stefano Sabelli,ITA,Brescia,100.00
Abdelhamid Sabiri,MAR,Paderborn 07,37.81
Alexis Saelemaekers,BEL,Milan,44.95
Jorge Sáenz,ESP,Celta Vigo,10.99
Wesley Saïd,FRA,Toulouse,35.89
Allan Saint-Maximin,FRA,Newcastle Utd,68.28
Borja Sainz,ESP,Alavés,15.59
Bukayo Saka,ENG,Arsenal,67.87
Jacopo Sala,ITA,SPAL,27.82
Eddie Salcedo,ITA,Hellas Verona,21.60
Mohammed Salisu,GHA,Valladolid,85.00
Diadie Samassékou,MLI,Hoffenheim,62.71
Mbwana Samatta,TAN,Aston Villa,25.92
Mama Samba Baldé,GNB,Dijon,52.73
Fede San Emeterio,ESP,Valladolid,49.89
Oihan Sancet,ESP,Athletic Club,32.36
Renato Sanches,POR,Lille,43.53
Alexis Sánchez,CHI,Inter,27.21
Germán Sánchez,ESP,Granada,77.97
Javi Sánchez,ESP,Valladolid,22.14
Manuel Sánchez,ESP,Atlético Madrid,10.26
Oier Sanjurjo,ESP,Osasuna,54.53
Riccardo Saponara,ITA,Lecce,30.32
Pablo Sarabia,ESP,Paris S-G,40.76
Josh Sargent,USA,Werder Bremen,60.84
Ismaila Sarr,SEN,Watford,54.50
Sidy Sarr,SEN,Nîmes,27.13
Joan Sastre Vanrell,ESP,Mallorca,42.82
Téji Savanier,FRA,Montpellier,62.49
Louis Schaub,AUT,Köln,22.36
Patrik Schick,CZE,RB Leipzig,44.83
Kingsley Schindler,GER,Köln,20.47
Xaver Schlager,AUT,Wolfsburg,58.49
Keven Schlotterbeck,GER,Union Berlin,61.22
Nico Schlotterbeck,GER,Freiburg,52.41
Jonathan Schmid,FRA,Freiburg,63.30
Benno Schmitz,GER,Köln,47.62
Lasse Schöne,DEN,Genoa,80.94
Sebastian Schonlau,GER,Paderborn 07,78.43
Jerdy Schouten,NED,Bologna,52.05
Nico Schulz,GER,Dortmund,23.13
Aleksandar Sedlar,SRB,Mallorca,19.36
Davie Selke,GER,Werder Bremen,19.80
Ken Sema,SWE,Udinese,74.14
Alessandro Semprini,ITA,Brescia,19.78
Stefano Sensi,ITA,Inter,19.34
Ryan Sessegnon,ENG,Tottenham,18.98
Salva Sevilla,ESP,Mallorca,66.62
Yevhen Shakhov,UKR,Lecce,34.07
Billy Sharp,ENG,Sheffield Utd,25.17
Djibril Sidibé,FRA,Everton,60.72
André Silva,POR,Eint Frankfurt,70.66
Matheus Pereira da Silva,BRA,Dijon,13.40
Mohamed Simakan,FRA,Strasbourg,50.08
Giovanni Simeone,ARG,Cagliari,69.97
Moses Simon,NGA,Nantes,66.71
Daley Sinkgraven,NED,Leverkusen,31.52
Ellyes Skhiri,TUN,Köln,86.83
Andreas Skov Olsen,DEN,Bologna,27.57
Robert Skov,DEN,Hoffenheim,46.56
Steven Skrzybski,GER,Düsseldorf,16.65
Islam Slimani,ALG,Monaco,38.85
William Smallbone,IRL,Southampton,11.18
Chris Smalling,ENG,Roma,60.95
Fyodor Smolov,RUS,Celta Vigo,21.15
Rafa Soares,POR,Eibar,25.70
Roberto Soldado,ESP,Granada,59.46
Riccardo Sottil,ITA,Fiorentina,25.95
Tomáš Souček,CZE,West Ham,71.88
Adama Soumaoro,FRA,Genoa,20.92
Bryan Soumaré,FRA,Dijon,10.81
Arnaud Souquet,FRA,Montpellier,56.37
Djibril Sow,SUI,Eint Frankfurt,71.92
Nikolas Špalek,SVK,Brescia,47.43
Leonardo Spinazzola,ITA,Roma,58.09
Dennis Srbeny,GER,Paderborn 07,38.72
Jerry St. Juste,NED,Mainz 05,62.84
Jack Stacey,ENG,Bournemouth,44.78
Kostas Stafylidis,GRE,Hoffenheim,13.54
Mariusz Stępiński,POL,Hellas Verona,20.95
Enda Stevens,IRL,Sheffield Utd,89.73
Marco Stiepermann,GER,Norwich City,35.40
Gabriel Strefezza,BRA,SPAL,67.19
Christian Strohdiek,GER,Paderborn 07,49.25
Stefano Sturaro,ITA,Genoa,36.44
Denis Suárez,ESP,Celta Vigo,74.02
Neven Subotić,SRB,Union Berlin,61.24
Marek Suchý,CZE,Augsburg,12.02
Stoppila Sunzu,ZAM,Metz,38.94
Suso,ESP,Sevilla,32.69
Bosko Sutalo,CRO,Atalanta,9.08
Ádám Szalai,HUN,Mainz 05,30.29
Andrea Tabanelli,ITA,Lecce,30.13
Panagiotis Tachtsidis,GRE,Lecce,64.64
Flavien Tait,FRA,Rennes,44.01
Japhet Tanganga,ENG,Tottenham,16.17
Edmond Tapsoba,BFA,Leverkusen,63.92
Matt Targett,ENG,Aston Villa,69.26
Neil Taylor,WAL,Aston Villa,31.45
Álvaro Tejero,ESP,Eibar,47.22
Bernard Tekpetey,GHA,Düsseldorf,14.00
Alexander Tettey,NOR,Norwich City,73.28
Jan Thielmann,GER,Köln,31.51
Sada Thioub,SEN,Angers,42.23
Luke Thomas,ENG,Leicester City,30.22
Erik Thommy,GER,Düsseldorf,72.33
Morten Thorsby,NOR,Sampdoria,73.32
Marcus Thuram,FRA,M'Gladbach,49.25
Khéphren Thuram-Ulie,FRA,Nice,40.24
Kieran Tierney,SCO,Arsenal,49.65
David Timor,ESP,Getafe,27.01
Jean-Clair Todibo,FRA,Schalke 04,12.38
Karl Toko Ekambi,CMR,Lyon,56.26
Jeremy Toljan,GER,Sassuolo,50.71
Raúl de Tomás,ESP,Espanyol,55.89
Takehiro Tomiyasu,JPN,Bologna,82.82
Fikayo Tomori,ENG,Chelsea,38.34
Nenad Tomović,SRB,SPAL,57.02
Sandro Tonali,ITA,Brescia,93.69
Ömer Toprak,TUR,Werder Bremen,43.74
Ernesto Torregrossa,VEN,Brescia,55.35
Óliver Torres,ESP,Sevilla,39.39
Pau Torres,ESP,Villarreal,88.93
Roberto Torres,ESP,Osasuna,57.16
Aleksandar Trajkovski,MKD,Mallorca,10.53
Adama Traoré,MLI,Metz,29.30
Miguel Trauco,PER,Saint-Étienne,46.26
Trézéguet,EGY,Aston Villa,43.33
Christopher Trimmel,AUT,Union Berlin,78.83
Kieran Trippier,ENG,Atlético Madrid,58.09
Leandro Trossard,BEL,Brighton,71.85
Tom Trybull,GER,Norwich City,35.66
Georgi Tunjov,EST,SPAL,9.00
Hwang Ui-jo,KOR,Bordeaux,62.21
Anthony Ujah,NGA,Union Berlin,28.94
Mark Uth,GER,Köln,55.09
Álvaro Vadillo,ESP,Granada,38.99
William Vainqueur,FRA,Toulouse,55.32
Martin Valjent,SVK,Mallorca,99.74
Jesús Vallejo,ESP,Granada,31.80
Manu Vallejo,ESP,Valencia,20.59
Matías Vargas,ARG,Espanyol,29.50
Ruben Vargas,SUI,Augsburg,66.77
Sebastian Vasiliadis,GRE,Paderborn 07,100.00
Denis Vavro,SVK,Lazio,10.18
Kevin Vázquez,ESP,Celta Vigo,32.33
Miguel Veloso,POR,Hellas Verona,57.67
Lorenzo Venuti,ITA,Fiorentina,42.57
Simone Verdi,ITA,Torino,54.99
Jordan Veretout,FRA,Roma,74.54
Valerio Verre,ITA,Hellas Verona,54.07
Birger Verstraete,BEL,Köln,23.04
Fede Vico,ESP,Granada,26.48
Aleix Vidal,ESP,Alavés,66.95
Nacho Vidal,ESP,Osasuna,81.03
Asier Villalibre,ESP,Athletic Club,27.08
Gonzalo Villar,ESP,Roma,34.94
Mattia Viviani,ITA,Brescia,10.97
Dušan Vlahović,SRB,Fiorentina,59.91
Kevin Vogt,GER,Werder Bremen,37.21
Mario Vrančić,BIH,Norwich City,20.37
Molla Wagué,MLI,Nantes,20.75
Walace,BRA,Udinese,64.31
Kyle Walker-Peters,ENG,Southampton,56.47
Sebastian Walukiewicz,POL,Cagliari,32.80
Aaron Wan-Bissaka,ENG,Manchester Utd,76.27
Adam Webster,ENG,Brighton,68.31
Danny Welbeck,ENG,Watford,22.95
Jetro Willems,NED,Newcastle Utd,49.86
Brandon Williams,ENG,Manchester Utd,28.90
Joe Willock,ENG,Arsenal,24.06
Harry Wilson,WAL,Bournemouth,47.02
Florian Wirtz,GER,Leverkusen,47.04
Marius Wolf,GER,Hertha BSC,46.52
Yusuf Yazıcı,TUR,Lille,23.22
Maya Yoshida,JPN,Sampdoria,53.53
Ashley Young,ENG,Inter,36.56
Zaydou Youssouf,FRA,Saint-Étienne,37.90
Mattia Zaccagni,ITA,Hellas Verona,71.30
Andre-Frank Zambo Anguissa,CMR,Villarreal,77.38
Cristián Zapata,COL,Genoa,43.97
Davide Zappacosta,ITA,Roma,14.23
Christoph Zimmermann,GER,Norwich City,43.89
Joshua Zirkzee,NED,Bayern Munich,8.75
Jaromír Zmrhal,CZE,Brescia,34.08
Ben Zolinski,GER,Paderborn 07,42.56
Kurt Zouma,FRA,Chelsea,64.83
Martín Zubimendi,ESP,Real Sociedad,49.68
Martin Ødegaard,NOR,Real Sociedad,75.32
Laurent Abergel,FRA,Lorient,93.71
Pape Abou Cissé,SEN,Saint-Étienne,37.38
Gennaro Acampora,ITA,Spezia,13.72
Marcos Acuña,ARG,Sevilla,68.81
Tosin Adarabioyo,ENG,Fulham,95.37
Lucien Agoume,FRA,Spezia,25.38
Felix Agu,GER,Werder Bremen,22.37
Kevin Agudelo,COL,Spezia,38.61
Nayef Aguerd,MAR,Rennes,92.96
Matteo Ahlinvi,BEN,Nîmes,29.66
Ola Aina,NGA,Fulham,85.30
Rayan Aït Nouri,FRA,Wolves,47.34
Semi Ajayi,NGA,West Brom,82.05
Carlos Akapo,EQG,Cádiz,40.56
Nathan Aké,NED,Manchester City,26.60
Paul Akouokou,CIV,Betis,14.02
Jean-Daniel Akpa-Akpro,CIV,Lazio,20.15
Pedro Alcalá,ESP,Cádiz,26.72
Thiago Alcántara,ESP,Liverpool,49.79
Omar Alderete,PAR,Hertha BSC,44.75
Iván Alejo,ESP,Cádiz,27.59
Carles Aleñá,ESP,Getafe,55.66
Mohamed Ali Cho,FRA,Angers,31.52
Ezgjan Alioski,MKD,Leeds United,71.16
Allan,BRA,Everton,68.89
Ibrahim Amadou,FRA,Angers,46.14
Ethan Ampadu,WAL,Sheffield Utd,62.20
Sofyan Amrabat,MAR,Fiorentina,52.62
Jon Ander Garrido,ESP,Cádiz,23.60
Joachim Andersen,DEN,Fulham,88.67
Sebastian Andersson,SWE,Köln,41.80
Waldemar Anton,GER,Stuttgart,88.32
Adil Aouchiche,FRA,Saint-Étienne,41.38
Ronald Araújo,URU,Barcelona,58.03
Karim Aribi,ALG,Nîmes,9.43
Tolgay Arslan,GER,Udinese,53.21
Roger Assalé,CIV,Dijon,22.73
Miguel Atienza,ESP,Eibar,27.05
Taiwo Awoniyi,NGA,Union Berlin,52.52
Mehmet-Can Aydin,GER,Schalke 04,15.78
Kaan Ayhan,TUR,Sassuolo,32.63
Luke Ayling,ENG,Leeds United,82.88
Loïc Bade,FRA,Lens,80.18
Milan Badelj,CRO,Genoa,86.39
Miguel Baeza,ESP,Celta Vigo,15.91
Tiemoué Bakayoko,FRA,Napoli,59.30
Mitchel Bakker,NED,Paris S-G,58.46
Ridle Baku,GER,Wolfsburg,84.58
Keita Baldé,SEN,Sampdoria,34.87
Gareth Bale,WAL,Tottenham,25.16
Leonardo Balerdi,ARG,Marseille,38.37
Robson Bambu,BRA,Nice,32.49
Patrick Bamford,ENG,Leeds United,48.57
Mattia Bani,ITA,Genoa,34.30
Mattia Bani,ITA,Parma,35.91
Simon Banza,FRA,Lens,38.64
Antonín Barák,CZE,Hellas Verona,78.78
Federico Barba,ITA,Benevento,83.68
Melvin Bard,FRA,Lyon,14.22
Ross Barkley,ENG,Aston Villa,44.47
Antonio Barragán,ESP,Elche,55.44
Jacob Barrett Laursen,DEN,Arminia,49.95
Kyle Bartley,ENG,West Brom,76.15
Paolo Bartolomei,ITA,Spezia,9.72
Simone Bastoni,ITA,Spezia,59.27
Rodrigo Battaglia,ARG,Alavés,77.95
Donny van de Beek,NED,Manchester Utd,14.91
Jude Bellingham,ENG,Dortmund,74.08
Hatem Ben Arfa,FRA,Bordeaux,50.63
László Bénes,SVK,Augsburg,21.82
Saïd Benrahma,ALG,West Ham,50.63
Yassine Benzia,ALG,Dijon,11.76
Álex Berenguer,ESP,Athletic Club,69.03
Valon Berisha,KVX,Reims,31.18
Bartosz Bialek,POL,Wolfsburg,8.65
Alejandro Blanco,ESP,Valencia,17.41
Sacha Boey,FRA,Dijon,54.06
Melayro Bogarde,NED,Hoffenheim,9.74
Jayden Bogle,ENG,Sheffield Utd,32.23
Quentin Boisgard,FRA,Lorient,34.88
Giacomo Bonaventura,ITA,Fiorentina,68.41
Federico Bonazzoli,ITA,Torino,16.66
Kevin Bonifazi,ITA,Udinese,77.08
Sven Botman,NED,Lille,82.99
Sofiane Boufal,MAR,Angers,46.32
Ismaëlben Boura,FRA,Lens,24.26
Lucas Boyé,ARG,Elche,71.68
Can Bozdogan,GER,Schalke 04,20.41
Lilian Brassier,FRA,Brest,51.18
Rhian Brewster,ENG,Sheffield Utd,31.84
Juan Brunetta,ARG,Parma,14.32
Cédric Brunner,SUI,Arminia,88.26
Bryan,ESP,Eibar,72.68
Kean Bryan,ENG,Sheffield Utd,29.39
Ante Budimir,CRO,Osasuna,51.61
Alessandro Buongiorno,ITA,Torino,30.89
Jonathan Burkardt,GER,Mainz 05,64.38
Oliver Burke,SCO,Sheffield Utd,35.83
Patrick Burner,MTQ,Nîmes,44.18
Maxime Busi,BEL,Parma,37.38
Jimmy Cabot,FRA,Angers,46.00
Yannick Cahuzac,FRA,Lens,41.57
Cala,ESP,Cádiz,47.31
Luca Caldirola,ITA,Benevento,49.70
Kerim Calhanoglu,GER,Schalke 04,9.43
Daniel Caligiuri,ITA,Augsburg,77.96
José Callejón,ESP,Fiorentina,28.95
Jonathan Calleri,ARG,Osasuna,47.56
Dani Calvo,ESP,Elche,59.36
Antonio Candreva,ITA,Sampdoria,85.32
Étienne Capoue,FRA,Villarreal,52.26
Gianluca Caprari,ITA,Benevento,57.36
